Date,Time,Close_exchange,Close_oil,Close_gold,Close_copper,Close_nasdaq,Close_dow,Close_vix,Close_treasury,Close_gas
2023-04-17,pm4,1313.530029,81.98999786,2022.800049,4.089000225,13190.0,34060.0,17.73999977,3.522000074,2.157000065
2023-04-18,am9,1318.550049,81.05999756,2009.900024,4.072999954,13173.5,34137.0,16.95000076,3.59100008,2.28399992
2023-04-18,pm4,1317.640015,80.910004,2013.5,4.088,13193.5,34155.0,16.93,3.591,2.273
2023-04-19,am9,1315.890015,80.94000244,2017.699951,4.085499763,13175.75,34074.0,16.82999992,3.572000027,2.372999907
2023-04-19,pm4,1325.859985,80.09999847,2003.800049,4.034999847,13122.0,34026.0,17.29000092,3.572000027,2.378000021
2023-04-20,am9,1326.869995,78.87999725,2006.199951,4.066999912,13140.25,33988.0,16.45999908,3.601999998,2.188999891
2023-04-20,pm4,1326.76,78.87,2016.1,4.02,113089.0,33899.0,16.85,3.566,2.192
2023-04-21,am9,1326.219970703125,77.29000091552734,2016.199951171875,4.019000053405762,13100.75,33900.0,17.170000076293945,3.5450000762939453,2.194000005722046
2023-04-21,pm4,1329.6099853515625,77.29000091552734,1996.300048828125,3.991499900817871,13058.0,33850.0,17.43000030517578,3.5450000762939453,2.227999925613404
2023-04-22,pm4,1330.5,77.87000274658203,1979.5,3.9800000190734863,13090.5,33950.0,16.770000457763672,3.569999933242798,2.2330000400543213
2023-04-22,am9,1330.5,77.87000274658203,1979.5,3.9800000190734863,13090.5,33950.0,16.770000457763672,3.569999933242798,2.2330000400543213
