Unnamed: 0,Date,code,Name,Close,Close_exchange,Close_oil,Close_gold,Close_copper,Close_nasdaq,Close_dow,Close_vix,Close_treasury,Close_gas
33,2021-01-05,010950,S-Oil Corporation,70800,1084.72998,47.61999893,1944.699951,3.552999973,12685.5,30104.0,26.96999931,0.916999996,2.70199990272522
88,2021-01-05,001450,"Hyundai Marine & Fire Insurance Co., Ltd.",22500,1084.72998,47.61999893,1944.699951,3.552999973,12685.5,30104.0,26.96999931,0.916999996,2.70199990272522
94,2021-01-05,010620,"Hyundai Mipo Dockyard Co., Ltd.",53800,1084.72998,47.61999893,1944.699951,3.552999973,12685.5,30104.0,26.96999931,0.916999996,2.70199990272522
101,2021-01-05,036460,Korea Gas Corporation,31050,1084.72998,47.61999893,1944.699951,3.552999973,12685.5,30104.0,26.96999931,0.916999996,2.70199990272522
133,2021-01-05,005300,"Lotte Chilsung Beverage Co., Ltd.",106000,1084.72998,47.61999893,1944.699951,3.552999973,12685.5,30104.0,26.96999931,0.916999996,2.70199990272522
147,2021-01-05,001230,Dongkuk Steel Mill Company Limited,9130,1084.72998,47.61999893,1944.699951,3.552999973,12685.5,30104.0,26.96999931,0.916999996,2.70199990272522
155,2021-01-05,103140,Poongsan Corporation,29450,1084.72998,47.61999893,1944.699951,3.552999973,12685.5,30104.0,26.96999931,0.916999996,2.70199990272522
220,2021-01-06,010950,S-Oil Corporation,73700,1086.619995,49.93000031,1952.699951,3.640500069,12793.5,30285.0,25.34000015,0.954999983,2.7160000801086426
275,2021-01-06,001450,"Hyundai Marine & Fire Insurance Co., Ltd.",22400,1086.619995,49.93000031,1952.699951,3.640500069,12793.5,30285.0,25.34000015,0.954999983,2.7160000801086426
281,2021-01-06,010620,"Hyundai Mipo Dockyard Co., Ltd.",52300,1086.619995,49.93000031,1952.699951,3.640500069,12793.5,30285.0,25.34000015,0.954999983,2.7160000801086426
288,2021-01-06,036460,Korea Gas Corporation,31950,1086.619995,49.93000031,1952.699951,3.640500069,12793.5,30285.0,25.34000015,0.954999983,2.7160000801086426
320,2021-01-06,005300,"Lotte Chilsung Beverage Co., Ltd.",108000,1086.619995,49.93000031,1952.699951,3.640500069,12793.5,30285.0,25.34000015,0.954999983,2.7160000801086426
334,2021-01-06,001230,Dongkuk Steel Mill Company Limited,9050,1086.619995,49.93000031,1952.699951,3.640500069,12793.5,30285.0,25.34000015,0.954999983,2.7160000801086426
342,2021-01-06,103140,Poongsan Corporation,29050,1086.619995,49.93000031,1952.699951,3.640500069,12793.5,30285.0,25.34000015,0.954999983,2.7160000801086426
407,2021-01-07,010950,S-Oil Corporation,75000,1086.449951,50.63000107,1906.900024,3.650000095,12616.75,30720.0,25.06999969,1.042000055,2.7290000915527344
